areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
Prospect Lefferts Gardens,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,1875.000,,1750.000,1700.000,,,1800.000,1698.000,,,,,,,,1900.000,1850.000,,2200.000,2200.000,2200.000,2000.000,1950.000,2050.000,2250.000,2175.000,2100.000,2100.000,2075.000,2250.000,2100.000,2150.000,2125.000,2150.000,2000.000,1900.000,1950.000,1950.000,1950.000,1950.000,2000.000,2000.000,2000.000,2200.000,2250.000,2200.000,2150.000,2100.000,2100.000,2100.000,2200.000,2200.000,2232.000,2271.000,2300.000,2300.000,2300.000,2292.000,2200.000,2175.000,2250.000,2300.000,2250.000,2225.000,2199.000,2275.000,2300.000,2300.000,2295.000,2200.000,2200.000,2200.000,2138.000,2249.000,2350.000,2395.000,2400.000,2400.000,2500.000,2400.000,2452.000,2379.000,2375.000,2375.000,2300.000,2378.000,2400.000,2400.000,2395.000,2499.000,2497.000,2560.000,2495.000,2650.000,2522.000,2550.000,2598.000,2500.000,2400.000,2408.000,2450.000,2450.000,2485.000,2449.000,2395.000,2300.000,2195.000,2100.000,2198.000,2150.000,2200.000,2350.000,2300.000,2300.000,2500.000,2400.000,2400.000,2400.000,2448.000,2300.000,2550.000,2448.000,2600.000,2600.000,2639.000,2750.000,2993.000,3200.000,2999.000,2800.000,2849.000,2750.000,2787.000,2750.000,2899.000,2900.000,2900.000,3000.000,3092.000,3150.000,3200.000,3000.000,3199.000,3000.000,2999.000,2950.000,3000.000,3000.000,3100.000,3100.000,3000.000,3000.000,3100.000,2873.000,2900.000
Prospect Park,Brooklyn,submarket,2350.000,2300.000,2325.000,2300.000,2473.000,2500.000,2448.000,2450.000,2600.000,2550.000,2500.000,2550.000,2550.000,2500.000,2500.000,2500.000,2598.000,2598.000,2600.000,2700.000,2825.000,2800.000,2595.000,2700.000,2600.000,2600.000,2600.000,2700.000,2750.000,2800.000,2700.000,2700.000,2825.000,2800.000,2750.000,2800.000,2800.000,2800.000,2750.000,2800.000,2800.000,2895.000,2750.000,2800.000,2800.000,2800.000,2680.000,2800.000,2800.000,2850.000,2800.000,2850.000,2800.000,2800.000,2800.000,2800.000,2850.000,2850.000,2800.000,2800.000,2850.000,2850.000,2900.000,2900.000,2900.000,2900.000,2900.000,2873.000,2850.000,2800.000,2850.000,2800.000,2800.000,2800.000,2800.000,2900.000,2900.000,2900.000,2800.000,2800.000,2800.000,2800.000,2800.000,2800.000,2800.000,2800.000,2700.000,2800.000,2800.000,2850.000,2800.000,2800.000,2800.000,2750.000,2650.000,2600.000,2700.000,2725.000,2792.000,2800.000,2850.000,2900.000,2975.000,2850.000,2933.000,2750.000,2750.000,2700.000,2750.000,2700.000,2695.000,2850.000,2800.000,2950.000,2999.000,3000.000,3000.000,3100.000,3000.000,3150.000,3038.000,3000.000,2950.000,2900.000,3100.000,2999.000,2950.000,2850.000,2800.000,2750.000,2700.000,2700.000,2690.000,2650.000,2800.000,2750.000,2650.000,2700.000,2850.000,2890.000,2900.000,2850.000,2850.000,2900.000,2999.000,3000.000,3300.000,3543.000,3800.000,3800.000,3850.000,3750.000,3800.000,3950.000,3700.000,3575.000,3397.000,3695.000,3800.000,3900.000,3950.000,3995.000,4000.000,3950.000,3995.000,3999.000,3800.000,3850.000,3600.000,3873.000,3650.000,3700.000,4000.000,3995.000,3850.000,3950.000,3995.000,4198.000,4195.000
Prospect Park South,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.000,2300.000,,2250.000,2225.000,2225.000,2100.000,2100.000,2100.000,2000.000,2195.000,2400.000,2398.000,2175.000,2100.000,2000.000,2000.000,2100.000,2100.000,2100.000,2250.000,2225.000,2150.000,2150.000,2200.000,2150.000,2100.000,2195.000,2200.000,2195.000,2138.000,2138.000,2225.000,2100.000,2099.000,2100.000,2075.000,2100.000,2058.000,2000.000,2150.000,2200.000,2100.000,2100.000,2200.000,2250.000,2050.000,2000.000,2072.000,2150.000,2100.000,2100.000,2250.000,2150.000,2200.000,2295.000,2195.000,2325.000,2225.000,1995.000,2150.000,2150.000,2195.000,2195.000,2200.000,2199.000,2250.000,2499.000,2350.000,2395.000,2400.000,2250.000,2275.000,2300.000,2200.000,2150.000,2250.000,2199.000,2377.000,2400.000,2313.000,2250.000,2198.000,2150.000,2000.000,2073.000,2153.000,2153.000,2198.000,2175.000,2300.000,2300.000,2199.000,2223.000,2195.000,2350.000,2200.000,2359.000,2250.000,2599.000,2599.000,2225.000,2950.000,2950.000,3100.000,2838.000,2475.000,2700.000,2675.000,2625.000,2663.000,2700.000,2713.000,2700.000,2800.000,2899.000,3430.000,3150.000,3400.000,2900.000,2850.000,2858.000,3350.000,2950.000,2900.000,3138.000,3175.000,3175.000,4000.000,4495.000,4359.000,3275.000
Queens,Queens,borough,1950.000,2000.000,2000.000,2083.000,1825.000,1800.000,1775.000,1800.000,1898.000,1800.000,1800.000,1675.000,1688.000,1700.000,2000.000,1900.000,1975.000,2100.000,2100.000,2075.000,2450.000,2425.000,2295.000,2200.000,2195.000,2990.000,2990.000,2760.000,2700.000,2700.000,2750.000,2575.000,2475.000,2400.000,2200.000,2200.000,2100.000,2150.000,2200.000,2200.000,2300.000,2400.000,2450.000,2399.000,2400.000,2425.000,2350.000,2200.000,2200.000,2200.000,2200.000,2330.000,2300.000,2300.000,2300.000,2350.000,2300.000,2295.000,2295.000,2250.000,2250.000,2300.000,2250.000,2300.000,2300.000,2300.000,2300.000,2349.000,2300.000,2300.000,2300.000,2300.000,2300.000,2300.000,2350.000,2350.000,2365.000,2382.000,2395.000,2400.000,2383.000,2300.000,2300.000,2313.000,2300.000,2300.000,2300.000,2300.000,2300.000,2350.000,2350.000,2375.000,2350.000,2316.000,2300.000,2299.000,2300.000,2250.000,2295.000,2299.000,2300.000,2300.000,2300.000,2300.000,2300.000,2300.000,2300.000,2295.000,2300.000,2300.000,2300.000,2300.000,2350.000,2396.000,2400.000,2400.000,2400.000,2400.000,2382.000,2352.000,2400.000,2400.000,2400.000,2444.000,2400.000,2400.000,2395.000,2300.000,2295.000,2200.000,2200.000,2200.000,2200.000,2200.000,2200.000,2200.000,2200.000,2250.000,2300.000,2400.000,2400.000,2400.000,2400.000,2450.000,2400.000,2495.000,2450.000,2565.000,2650.000,2750.000,2750.000,2750.000,2800.000,2773.000,2700.000,2700.000,2795.000,2800.000,2800.000,2800.000,2850.000,2950.000,2995.000,2999.000,2999.000,3000.000,2950.000,3000.000,3000.000,3066.000,3195.000,3200.000,3300.000,3200.000,3300.000,3300.000,3275.000,3200.000,3200.000
Queens Village,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350.000,,,,,,,,,,,
Red Hook,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.000,,,,,,,,,,,,,,,3000.000,3000.000,3000.000,3000.000,2800.000,2700.000,2875.000,2850.000,2800.000,2300.000,2600.000,2600.000,2300.000,2400.000,2300.000,2000.000,2200.000,2500.000,2350.000,2465.000,2465.000,2599.000,2725.000,2825.000,2800.000,2500.000,2750.000,3500.000,2925.000,2700.000,2700.000,2450.000,2800.000,2850.000,3000.000,2742.000,2683.000,2800.000,2800.000,2900.000,2850.000,2750.000,2598.000,2800.000,2499.000,2499.000,2725.000,2838.000,2900.000,2850.000,2575.000,2600.000,2700.000,2500.000,2500.000,2678.000,2625.000,3000.000,3000.000,2595.000,2600.000,2950.000,2900.000,2825.000,2825.000,2800.000,2750.000,,,3000.000,3175.000,,3100.000,3000.000,2500.000,2400.000,2400.000,2200.000,2500.000,2800.000,2500.000,2500.000,2200.000,2123.000,2000.000,2500.000,2400.000,,2350.000,,,,,,,,,3999.000,4298.000,3799.000,3700.000,3150.000,3000.000,3450.000,3300.000,,,,3400.000,3775.000,,3938.000,3925.000,3925.000,3950.000,3950.000,3950.000,3800.000,3800.000,3775.000,3888.000,,4500.000,4000.000,3575.000,3525.000,
Rego Park,Queens,neighborhood,,,,,,,,,,,,,,,,,1913.000,1923.000,,,,,,1900.000,2025.000,2100.000,,,,,,,,,,,,2195.000,,,,,,,,2475.000,2331.000,2095.000,2150.000,2345.000,2248.000,2050.000,2100.000,2100.000,2125.000,2125.000,2100.000,2195.000,2232.000,2100.000,2050.000,2150.000,2200.000,2300.000,2275.000,2298.000,2200.000,2200.000,2375.000,2273.000,2225.000,2338.000,2375.000,2300.000,2300.000,2300.000,2300.000,2375.000,2350.000,2500.000,2375.000,2399.000,2400.000,2700.000,2550.000,2563.000,2663.000,2600.000,2500.000,2500.000,2598.000,2785.000,2823.000,2544.000,2375.000,2364.000,2350.000,2400.000,2350.000,2350.000,2300.000,2335.000,2350.000,2393.000,2410.000,2450.000,2325.000,2350.000,2400.000,2485.000,2497.000,2497.000,2400.000,2436.000,2450.000,2500.000,2450.000,2425.000,2350.000,2333.000,2350.000,2400.000,2400.000,2400.000,2400.000,2375.000,2473.000,2500.000,2375.000,2350.000,2375.000,2400.000,2400.000,2295.000,2349.000,2300.000,2300.000,2385.000,2375.000,2495.000,2400.000,2355.000,2400.000,2400.000,2477.000,2550.000,2400.000,2595.000,2520.000,2625.000,2650.000,2775.000,2795.000,2800.000,2700.000,2675.000,2795.000,2700.000,2800.000,2750.000,2798.000,2973.000,2900.000,2938.000,3000.000,3000.000,2895.000,2899.000,2995.000,3091.000,3250.000,3500.000,2823.000,3050.000,3200.000,2850.000,3050.000,3000.000,2925.000
Richmond Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2348.000,,,,,,,,,,,,,,
Ridgewood,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,2990.000,2990.000,2915.000,,2613.000,2567.000,2613.000,,2392.000,2392.000,2399.000,2450.000,2384.000,2292.000,2292.000,2292.000,,,1950.000,1950.000,1950.000,1999.000,1750.000,1825.000,1700.000,1900.000,1798.000,1975.000,1925.000,2000.000,2195.000,1800.000,1825.000,1925.000,1975.000,1990.000,1990.000,1900.000,1800.000,1900.000,1900.000,2000.000,2000.000,2000.000,1950.000,1999.000,2000.000,2000.000,2000.000,2000.000,2000.000,2100.000,2100.000,2050.000,2100.000,2150.000,2050.000,2100.000,2100.000,2100.000,2100.000,2150.000,2150.000,2150.000,2095.000,2150.000,2200.000,2100.000,2095.000,2099.000,2195.000,2099.000,2064.000,2100.000,2000.000,2100.000,2290.000,2200.000,2250.000,2200.000,2199.000,2200.000,2155.000,2195.000,2199.000,2199.000,2285.000,2295.000,2395.000,2398.000,2300.000,2273.000,2275.000,2200.000,2200.000,2200.000,2449.000,2400.000,2385.000,2350.000,2300.000,2290.000,2199.000,2153.000,2100.000,2104.000,2100.000,2100.000,2100.000,2050.000,2100.000,2100.000,2200.000,2250.000,2246.000,2299.000,2300.000,2445.000,2454.000,2325.000,2300.000,2400.000,2550.000,2799.000,2849.000,3000.000,2985.000,2850.000,2800.000,2795.000,2799.000,2795.000,2800.000,2850.000,2948.000,2895.000,2999.000,2999.000,2950.000,2999.000,2850.000,2899.000,2998.000,3000.000,2950.000,3000.000,3000.000,3100.000,3200.000,3197.000,3100.000,3100.000,2973.000,2873.000
Riverdale,Bronx,neighborhood,2300.000,2300.000,2200.000,2200.000,2100.000,2450.000,2500.000,2750.000,2250.000,2000.000,2100.000,2195.000,2195.000,2198.000,2198.000,2195.000,2198.000,2248.000,2185.000,2200.000,2188.000,2163.000,2125.000,2098.000,2100.000,2190.000,2100.000,2138.000,2050.000,2180.000,2175.000,2100.000,2125.000,2100.000,2300.000,2200.000,2150.000,2150.000,2108.000,2200.000,2248.000,2100.000,2200.000,2200.000,2250.000,2000.000,2006.000,2006.000,2200.000,2200.000,2200.000,2200.000,2200.000,2200.000,2175.000,2108.000,2108.000,2125.000,2100.000,2100.000,2100.000,2200.000,2200.000,2175.000,2200.000,2300.000,2450.000,2600.000,2300.000,2300.000,2300.000,2300.000,2300.000,2350.000,2325.000,2400.000,2350.000,2313.000,2425.000,2425.000,2495.000,2500.000,2450.000,2300.000,2200.000,2300.000,2324.000,2400.000,2375.000,2400.000,2600.000,2498.000,2388.000,2388.000,2595.000,2350.000,2550.000,2525.000,2550.000,2550.000,2495.000,2400.000,2325.000,2417.000,2400.000,2300.000,2391.000,2395.000,2350.000,2313.000,2300.000,2350.000,2300.000,2325.000,2300.000,2400.000,2400.000,2400.000,2400.000,2500.000,2500.000,2600.000,2550.000,2550.000,2450.000,2473.000,2563.000,2750.000,2678.000,2643.000,2598.000,2625.000,2625.000,2650.000,2500.000,2500.000,2495.000,2495.000,2500.000,2642.000,2650.000,2650.000,2650.000,2525.000,2625.000,2550.000,2525.000,2550.000,2660.000,2700.000,2700.000,2700.000,3000.000,2700.000,2700.000,2725.000,2775.000,2700.000,2700.000,3000.000,2950.000,2950.000,2995.000,2995.000,2925.000,2900.000,3000.000,2950.000,2950.000,2948.000,2700.000,2900.000,2900.000,3000.000,2900.000,2925.000,3100.000,3100.000,3100.000
Rockaway All,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1282.000,1282.000,1282.000,1282.000,1282.000,1282.000,1282.000,,1341.000,1400.000,1465.000,,,,,,,,,,,1733.000,1708.000,1670.000,1700.000,1708.000,,,,,,,,,2075.000,2000.000,2000.000,2050.000,2025.000,2025.000,1963.000,1850.000,1850.000,1800.000,,,1897.000,1850.000,1750.000,1825.000,1750.000,1932.000,1982.000,2473.000,2050.000,2376.000,2305.000,2288.000,2200.000,1925.000,1900.000,2000.000,2060.000,2100.000,2008.000,2113.000,1995.000,1948.000,1995.000,1999.000,2050.000,2099.000,2082.000,1950.000,2075.000,1999.000,,1999.000,1925.000,1900.000,,2150.000,1974.000,1999.000,2012.000,2100.000,2050.000,,,2300.000,2300.000,2062.000,2200.000,2425.000,2150.000,2100.000,2250.000,2259.000,2500.000,2200.000,2250.000,2300.000,2299.000,2400.000,2450.000,,2400.000,2500.000,2500.000,2725.000,2925.000,2464.000,2464.000,2600.000,,,,2799.000,2695.000,2766.000,2448.000,2650.000,2700.000,2700.000,2700.000,2500.000,2550.000,2900.000,2950.000,2750.000,2899.000,2899.000,,2536.000,2696.000,2502.000
Roosevelt Island,Manhattan,neighborhood,,,2961.000,2959.000,3150.000,3462.000,3277.000,3289.000,3239.000,3300.000,3250.000,3150.000,3145.000,3145.000,3231.000,3400.000,3500.000,3425.000,,3100.000,3200.000,3458.000,3500.000,3500.000,,,,3550.000,3450.000,3300.000,3500.000,,,,3550.000,3500.000,3425.000,,,3935.000,3895.000,3873.000,3750.000,3755.000,,,,,,4028.000,4450.000,3695.000,3950.000,4075.000,4100.000,4200.000,3695.000,3695.000,3745.000,3745.000,3695.000,3560.000,3495.000,,4098.000,4225.000,4385.000,4395.000,4375.000,3836.000,4021.000,3666.000,3558.000,4095.000,4123.000,4095.000,4095.000,4376.000,4315.000,4100.000,4100.000,3775.000,3600.000,3798.000,4037.000,4192.000,4069.000,3995.000,4300.000,4350.000,4400.000,4173.000,,3625.000,3425.000,,3428.000,4060.000,4015.000,4085.000,4498.000,4303.000,4569.000,4495.000,3600.000,3483.000,3798.000,3600.000,4000.000,3904.000,3782.000,4200.000,4200.000,3798.000,3895.000,4577.000,4500.000,4500.000,4225.000,4308.000,4151.000,4500.000,4400.000,3946.000,3965.000,3954.000,3954.000,3912.000,3876.000,3892.000,3814.000,3814.000,3836.000,3849.000,3805.000,3805.000,4350.000,4475.000,4667.000,4695.000,4821.000,4792.000,4828.000,4900.000,4888.000,4948.000,5020.000,5044.000,5439.000,5439.000,5240.000,5562.000,5460.000,5141.000,5141.000,5146.000,5071.000,4948.000,4978.000,5391.000,5446.000,5556.000,5206.000,5350.000,5174.000,4996.000,4885.000,4556.000,4800.000,4758.000,5000.000,5495.000,5000.000,5800.000,5800.000,5950.000,5800.000,5973.000,5800.000
Rosedale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schuylerville,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagate,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheepshead Bay,Brooklyn,neighborhood,,,,,,,,,,,,2400.000,2400.000,2500.000,1975.000,1800.000,1750.000,1750.000,1800.000,,1600.000,1600.000,,,,1600.000,,1638.000,1600.000,,1900.000,1900.000,,1675.000,,,,,1759.000,1600.000,1600.000,1750.000,1600.000,1950.000,1912.000,1888.000,1700.000,1700.000,1700.000,1850.000,1800.000,1800.000,1825.000,1750.000,1750.000,1813.000,1825.000,1800.000,1700.000,1700.000,1725.000,1925.000,1875.000,1895.000,1895.000,1950.000,2048.000,1975.000,2000.000,1999.000,2000.000,1938.000,1950.000,2075.000,2038.000,2075.000,2085.000,1975.000,1950.000,1925.000,2050.000,2095.000,2100.000,2100.000,2000.000,2100.000,2100.000,2150.000,2100.000,2100.000,2150.000,2200.000,2100.000,2000.000,2200.000,2200.000,2100.000,2000.000,2000.000,2000.000,1950.000,2050.000,2100.000,2100.000,2150.000,2000.000,2000.000,2020.000,2000.000,2198.000,2199.000,2154.000,2195.000,2154.000,2250.000,2100.000,2175.000,2125.000,2100.000,2260.000,2277.000,2143.000,2400.000,3545.000,2450.000,2295.000,2208.000,2229.000,2200.000,2288.000,2150.000,2097.000,2100.000,2113.000,2190.000,2200.000,2193.000,2190.000,2073.000,2175.000,2250.000,2190.000,2100.000,2097.000,2400.000,2484.000,2200.000,2300.000,2300.000,2475.000,2500.000,2500.000,2749.000,2625.000,2699.000,2737.000,2689.000,3050.000,2799.000,2550.000,2600.000,2649.000,3170.000,3200.000,3150.000,3200.000,3200.000,3200.000,3200.000,3200.000,3200.000,3250.000,3000.000,2749.000,2700.000,2900.000,2924.000,2975.000,2950.000
Soho,Manhattan,neighborhood,6900.000,6950.000,7000.000,6500.000,6500.000,5350.000,4750.000,7500.000,8000.000,8125.000,8400.000,8400.000,8400.000,8500.000,8250.000,8250.000,8700.000,6950.000,4400.000,3454.000,8450.000,8950.000,9000.000,9975.000,8650.000,8900.000,8500.000,8500.000,6000.000,4498.000,4625.000,7450.000,7425.000,8848.000,9950.000,9000.000,8498.000,5200.000,5500.000,5600.000,5100.000,5900.000,4623.000,4500.000,4445.000,6850.000,8000.000,8000.000,8000.000,7245.000,7825.000,6125.000,7000.000,4750.000,4000.000,4225.000,4850.000,6975.000,8000.000,5600.000,7250.000,7995.000,8425.000,8100.000,7500.000,5400.000,4750.000,7875.000,9000.000,9000.000,9000.000,8995.000,8750.000,8500.000,8500.000,7048.000,6975.000,7050.000,6948.000,7948.000,7795.000,7995.000,7795.000,7646.000,7350.000,8175.000,7000.000,7450.000,7000.000,7250.000,7000.000,6300.000,6800.000,7995.000,8000.000,8250.000,8495.000,8500.000,8300.000,7995.000,7748.000,4900.000,6800.000,6500.000,7375.000,7800.000,7995.000,8245.000,9800.000,9829.000,7895.000,5200.000,8000.000,7950.000,7950.000,8263.000,7500.000,7700.000,9250.000,9000.000,8500.000,8300.000,8950.000,7498.000,6100.000,5995.000,5950.000,4975.000,6500.000,6400.000,7500.000,7950.000,7950.000,8495.000,8200.000,7100.000,6400.000,7200.000,5500.000,8100.000,6497.000,8475.000,8475.000,9800.000,10000.000,9950.000,10975.000,11000.000,7845.000,5800.000,6250.000,8450.000,9985.000,9300.000,11250.000,10750.000,8100.000,10750.000,11000.000,10950.000,7948.000,7695.000,6525.000,9500.000,11850.000,12500.000,11998.000,12498.000,12500.000,12000.000,10900.000,12000.000,9000.000,6495.000,6248.000,6674.000,12500.000,12425.000,13500.000
Soundview,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895.000,1850.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1885.000,1950.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2388.000,2388.000,2050.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Brooklyn,Brooklyn,submarket,1650.000,1600.000,1600.000,1595.000,1700.000,1700.000,1600.000,1595.000,1650.000,1600.000,1625.000,1700.000,1775.000,1650.000,1700.000,1800.000,1650.000,1700.000,1700.000,1600.000,1650.000,1675.000,1600.000,1600.000,1600.000,1600.000,1700.000,1700.000,1700.000,1850.000,1900.000,1900.000,1900.000,1800.000,1750.000,1800.000,1750.000,1750.000,1800.000,1775.000,1850.000,1850.000,1825.000,1900.000,1950.000,1950.000,1900.000,1850.000,1850.000,1850.000,1895.000,1850.000,1938.000,1908.000,1950.000,1900.000,1900.000,1900.000,1900.000,1895.000,1890.000,1900.000,1900.000,1999.000,2000.000,2000.000,2095.000,2000.000,2100.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2095.000,2050.000,2100.000,2034.000,2018.000,2025.000,2025.000,2005.000,2050.000,2000.000,2095.000,2050.000,2100.000,2150.000,2100.000,2100.000,2100.000,2069.000,2095.000,2100.000,2100.000,2100.000,2100.000,2100.000,2150.000,2200.000,2200.000,2175.000,2100.000,2100.000,2150.000,2199.000,2150.000,2150.000,2165.000,2195.000,2199.000,2200.000,2200.000,2225.000,2250.000,2250.000,2276.000,2295.000,2299.000,2300.000,2300.000,2250.000,2250.000,2200.000,2200.000,2150.000,2100.000,2100.000,2100.000,2050.000,2075.000,2100.000,2149.000,2199.000,2200.000,2200.000,2250.000,2250.000,2295.000,2299.000,2300.000,2350.000,2400.000,2400.000,2400.000,2495.000,2538.000,2600.000,2600.000,2600.000,2599.000,2599.000,2600.000,2600.000,2650.000,2699.000,2699.000,2715.000,2750.000,2800.000,2800.000,2795.000,2795.000,2800.000,2813.000,2800.000,2800.000,2850.000,2940.000,2954.000,2950.000,2975.000,2995.000,2942.000,2900.000,2900.000
South Jamaica,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Ozone Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Queens,Queens,submarket,,,,,,,,,,,,,,,,1525.000,1463.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600.000,1895.000,,,1700.000,1850.000,1700.000,,,,1900.000,1850.000,1895.000,1800.000,1750.000,1675.000,1700.000,1938.000,1975.000,1700.000,1700.000,1700.000,1775.000,1800.000,1900.000,1800.000,1800.000,1900.000,1900.000,1950.000,1925.000,1948.000,1948.000,2125.000,2100.000,2100.000,2200.000,2206.000,2238.000,2048.000,2200.000,2000.000,1950.000,2038.000,2100.000,1900.000,1925.000,2000.000,1900.000,2100.000,1900.000,1995.000,1995.000,1900.000,2000.000,2098.000,2000.000,2350.000,2300.000,2095.000,2000.000,2175.000,2010.000,2000.000,2000.000,2198.000,2100.000,2195.000,2200.000,2250.000,2230.000,2150.000,2007.000,2125.000,2038.000,2200.000,2200.000,2100.000,2250.000,2200.000,2200.000,2200.000,2300.000,2200.000,2100.000,2100.000,2100.000,2250.000,2300.000,2400.000,2275.000,2350.000,2250.000,2600.000,2350.000,2375.000,2350.000,2250.000,2313.000,2453.000,2550.000,2846.000,2943.000,2818.000,2600.000,2650.000,2571.000,2475.000,2500.000,2550.000,2550.000,2500.000,2600.000,2773.000,2645.000,2700.000,3000.000,3165.000,2830.000,3218.000,3271.000,2978.000,3120.000,3188.000,3188.000,3200.000,3200.000,3200.000,3235.000,3200.000,3245.000,3220.000,3309.000
South Richmond Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
